Date,location,url,filename
1/26/2001,Sargujiya,https://drive.google.com/file/d/1ANtyK0qTrQ6CoebJr6Hy6WxULXndcJAO/view?usp=drivesdk,20010126N_26Jan01_Pravachan_At_Sargujiya_ParamSant_Shri_Satya_Prakash_Ji_Bikaner_320kbps.mp3
7/5/2001,Bikaner,https://drive.google.com/file/d/1pAlMpVstj8-bbVaUvt8MgjHk9k3YPqyr/view?usp=drivesdk,20010705M_5Jul01_GuruPurnima Pravachan_At_BKN_ParamSant_Shri_Satya_Prakash_Ji_Bikaner_320kbps.mp3
3/8/2001,unknown,https://drive.google.com/file/d/1gioJe5-AP_uA9bPLu7iRjWSt2FW8F5of/view?usp=drivesdk,20010308_8Mar01_Holi Pravachan at BKN_ParamSant_Shri_Satya_Prakash_Ji_Bikaner_320kbps.mp3
9/13/1998,Bikaner,https://drive.google.com/file/d/1xAc62hj_U21ujUBWeYqc_vznUqabv1xA/view?usp=drivesdk,19980913_13Sept98_Pravachan_At_Bikaner_GuruMaharaj_Agra_JanamDin_ParamSant_Shri_Satya_Prakash_Ji_Bikaner_320kbps.mp3
9/11/1998,Bikaner,https://drive.google.com/file/d/1y3G7SC1F37N_l8wMPzbCJ8CHZ4x1iA72/view?usp=drivesdk,19980911_11Sept98_Pravachan_At_Bikaner_GuruMaharaj_Agra_JanamDin_ParamSant_Shri_Satya_Prakash_Ji_Bikaner_320kbps.mp3
9/10/1998,Bikaner,https://drive.google.com/file/d/1f9a4Wnnz3qy18lxR18rYna2hWfh6kVOG/view?usp=drivesdk,19980910_10Sep98_Pravachan_At_Bikaner_GuruMaharaj_Agra_JanamDin_ParamSant_Shri_Satya_Prakash_Ji_Bikaner_320kbps.mp3
6/21/1998,Bikaner,https://drive.google.com/file/d/1JKYYPzN4Ra-EBTfmFypeScENxadGAdAl/view?usp=drivesdk,19980621_21Jun98_Pravachan_At_Bikaner_SundaySatsang_ParamSant_Shri_Satya_Prakash_Ji_Bikaner_320kbps.mp3
1/18/1998,Bikaner,https://drive.google.com/file/d/1dsuq3rK6DA_W98RhSd5kvKaHP5OUGyp_/view?usp=drivesdk,19980118_18Jan98_Pravachan_At_Bikaner_ChoteBhaisahab_Agman_ParamSant_Shri_Satya_Prakash_Ji_Bikaner_320kbps.mp3
1/17/1998,Bikaner,https://drive.google.com/file/d/1_KeAOJUoiy-xaYlmbPQdjSyeyjFyt6UQ/view?usp=drivesdk,19980117N_17Jan98_Pravachan_At_Bikaner_ChoteBhaisahabAgman_ParamSant_Shri_Satya_Prakash_Ji_Bikaner_320kbps.mp3
1/16/1998,Bikaner,https://drive.google.com/file/d/1IbjwiO8XsMUnkcXbwazIBD-nL-KzDPYG/view?usp=drivesdk,19980116N_16Jan98_Pravachan_At_Bikaner_ChoteBhaisahab_Agman_ParamSant_Shri_Satya_Prakash_Ji_Bikaner_320kbps.mp3
